recorded_at,ref,fileName,date,description,status,publicScore,privateScore
2026-06-22T06:25:12Z,,track_a_lucario_search.tar.gz,2026-06-22T06:25:12Z,Probe: Lucario v2 + LucarioSearchScorer (leader-suite 69.6% / public 11.1%); Lucario hub-archetype calibration,COMPLETE,500.1,
2026-06-22T06:25:12Z,,track_a_gen19_fast_basic_search.tar.gz,2026-06-22T06:25:12Z,Probe: gen19 fast-basic aggro + SearchScorer (robust 0.610 / public 8.3%); novel aggro archetype,COMPLETE,598.8,
2026-06-22T15:00:20+00:00,53950246,dragapult_ex_sample.tar.gz,2026-06-22 14:48:12.503000,dragapult_ex_sample: official Dragapult ex sample (Crispin) + never-crash wrapper; local gate 88% vs SearchScorer / 78% vs heuristic,ERROR,,
2026-06-22T15:00:20+00:00,53946742,track_d_lucarioex_rl_mcts_model4.tar.gz,2026-06-22 12:59:16.613000,"20260622: Mega Lucario ex real deck + RL+MCTS model4 (rl_mcts_basic/lucarioex_basic/model4, d128 basic, 80pct eval win rate)",COMPLETE,651.2,
2026-06-22T15:00:20+00:00,53946148,track_d_alakazam_rl_mcts_model4.tar.gz,2026-06-22 12:38:01.567000,"20260622: Alakazam top_mined deck + RL+MCTS model4 (rl_mcts_basic/alakazam_basic/model4.pth, d128 basic config, iter4 checkpoint)",COMPLETE,185.4,
2026-06-22T15:00:20+00:00,53930652,track_a_gen19_fast_basic_search.tar.gz,2026-06-22 02:24:56.060000,"20260621 probe: gen19 fast-basic aggro deck + SearchScorer (robust-screen 0.610, public 8.3%); novel aggro archetype, aligns with aggressive-meta finding",COMPLETE,600.7,
2026-06-22T15:00:20+00:00,53930648,track_a_lucario_search.tar.gz,2026-06-22 02:24:42.763000,"20260621 probe: Lucario v2 + LucarioSearchScorer (leader-suite L1 69.6%, public 11.1%); Lucario hub-archetype calibration vs ladder",COMPLETE,500.1,
2026-06-22T15:00:20+00:00,53916377,track_a_trevenant_leader_search.tar.gz,2026-06-21 14:28:14.437000,"20260621 probe: mined Trevenant control leader deck + SearchScorer (L1 15.3%, robust-pool #2 0.556); 2nd slot calibration vs real ladder",COMPLETE,615.6,
2026-06-22T15:00:20+00:00,53913404,ryotasueyoshi_alakazam_best5.tar.gz,2026-06-21 12:41:46.930000,"20260621 probe imported alakazam best5 (57.3% public gate, 417g)",COMPLETE,659.0,
2026-06-22T15:00:20+00:00,53890064,track_a_alakazam_leader_search.tar.gz,2026-06-20 17:35:19.523000,Leader Alakazam mined deck (TrustHub line) + SearchScorer probe,COMPLETE,545.6,
2026-06-22T15:00:20+00:00,53886522,track_c_lucario_rulecore_smartbench.tar.gz,2026-06-20 15:14:42.103000,"Track C Lucario official sample policy + smart bench (1-2 depth, empty-bench guard) via RuleCore/LucarioScorer",COMPLETE,535.6,
2026-06-22T15:00:20+00:00,53885445,track_d_lucario_rl_mcts.tar.gz,2026-06-20 14:37:24.433000,"Track D Lucario RL+MCTS iter0 champion (85pct vs random, gate 97.5pct promoted) - 2-iter Kaggle GPU run",COMPLETE,368.5,
2026-06-22T15:00:20+00:00,53869254,track_a_lucario_ex_search.tar.gz,2026-06-20 04:29:18.510000,Mega Lucario ex (real mined meta list) + SearchScorer best rules - 29/30 local vs benchmark,COMPLETE,660.5,
2026-06-22T15:00:20+00:00,53868798,track_b_learned_rl_deck_kaggle_20260619.tar.gz,2026-06-20 04:07:12.790000,"Track B learned RL-deck (100k, gate 210/240 87.5% accept_b) - best learned candidate, ladder probe",COMPLETE,585.1,
2026-06-22T15:04:53+00:00,53946742,track_d_lucarioex_rl_mcts_model4.tar.gz,2026-06-22 12:59:16.613000,"20260622: Mega Lucario ex real deck + RL+MCTS model4 (rl_mcts_basic/lucarioex_basic/model4, d128 basic, 80pct eval win rate)",COMPLETE,643.9,
2026-06-22T15:06:08+00:00,53950779,dragapult_ex_sample.tar.gz,2026-06-22 15:06:08.913000,dragapult_ex_sample v2: fix __file__ bug in main.py; Crispin sample + never-crash wrapper,PENDING,,
2026-06-22T15:09:24+00:00,53950779,dragapult_ex_sample.tar.gz,2026-06-22 15:06:08.913000,dragapult_ex_sample v2: fix __file__ bug in main.py; Crispin sample + never-crash wrapper,COMPLETE,600.0,
2026-06-22T20:57:55+00:00,53950779,dragapult_ex_sample.tar.gz,2026-06-22 15:06:08.913000,dragapult_ex_sample v2: fix __file__ bug in main.py; Crispin sample + never-crash wrapper,COMPLETE,850.5,
2026-06-23T00:51:22+00:00,53962060,lucarioex_v2_field_mcts.tar.gz,2026-06-23 00:50:41.667000,lucarioex_v2 field RL+MCTS 20-cycle vs 10 opponents,PENDING,,
2026-06-23T00:51:22+00:00,53946742,track_d_lucarioex_rl_mcts_model4.tar.gz,2026-06-22 12:59:16.613000,"20260622: Mega Lucario ex real deck + RL+MCTS model4 (rl_mcts_basic/lucarioex_basic/model4, d128 basic, 80pct eval win rate)",COMPLETE,651.3,
2026-06-23T11:39:38+00:00,53978119,lucarioex_v5_field_mcts.tar.gz,2026-06-23 11:39:38.643000,"lucarioex_v5 field RL+MCTS champion (cycle13, 43.5% field vs official pilots, search=20 train)",PENDING,,
2026-06-23T19:44:47+00:00,53989933,dragapult_ex_sample.tar.gz,2026-06-23 19:44:47.133000,"dragapult_ex_sample v3: Phase2 empty-bench guard (R7); official Crispin rules + never-crash wrapper; gate 90.6pct vs SearchScorer 0 no_active",COMPLETE,684.9,
2026-06-24T01:20:12+00:00,53995982,lucarioex_v5_field_mcts.tar.gz,2026-06-24 01:20:12.807000,"lucarioex_v5 field RL+MCTS final champion (25 cycles, 46.1% field eval cycle21, model_best.pth)",COMPLETE,600.0,
2026-06-26T13:10:24+00:00,53995982,lucarioex_v5_field_mcts.tar.gz,2026-06-24 01:20:12.807000,"lucarioex_v5 field RL+MCTS final champion (25 cycles, 46.1% field eval cycle21, model_best.pth)",COMPLETE,580.6,
2026-06-26T13:10:24+00:00,53989933,dragapult_ex_sample.tar.gz,2026-06-23 19:44:47.133000,dragapult_ex_sample v3: Phase2 empty-bench guard (R7); official Crispin rules + never-crash wrapper; gate 90.6pct vs SearchScorer 0 no_active,COMPLETE,880.8,
2026-06-26T13:10:24+00:00,53978119,lucarioex_v5_field_mcts.tar.gz,2026-06-23 11:39:38.643000,"lucarioex_v5 field RL+MCTS champion (cycle13, 43.5% field vs official pilots, search=20 train)",COMPLETE,464.7,
2026-06-26T13:10:24+00:00,53962060,lucarioex_v2_field_mcts.tar.gz,2026-06-23 00:50:41.667000,lucarioex_v2 field RL+MCTS 20-cycle vs 10 opponents,COMPLETE,460.8,
2026-06-26T13:10:24+00:00,53950779,dragapult_ex_sample.tar.gz,2026-06-22 15:06:08.913000,dragapult_ex_sample v2: fix __file__ bug in main.py; Crispin sample + never-crash wrapper,COMPLETE,833.0,
2026-06-26T16:16:33+00:00,54083197,archaludon_ex_cinderace_r7_bench.tar.gz,2026-06-26 16:15:56.833000,archaludon_rules x archaludon_ex_cinderace: community v5 + R7 empty-bench guard; local 72.7% full n=30,PENDING,,
2026-06-26T16:16:33+00:00,54081848,ryotasueyoshi_alakazam_best5.tar.gz,2026-06-26 15:19:08.570000,alakazam best5 ported S50; repro 659mu row; harness n=30,COMPLETE,744.3,
2026-06-26T16:16:33+00:00,53989933,dragapult_ex_sample.tar.gz,2026-06-23 19:44:47.133000,dragapult_ex_sample v3: Phase2 empty-bench guard (R7); official Crispin rules + never-crash wrapper; gate 90.6pct vs SearchScorer 0 no_active,COMPLETE,880.9,
2026-06-26T16:19:20+00:00,54083197,archaludon_ex_cinderace_r7_bench.tar.gz,2026-06-26 16:15:56.833000,archaludon_rules x archaludon_ex_cinderace: community v5 + R7 empty-bench guard; local 72.7% full n=30,COMPLETE,600.0,
2026-06-26T16:30:59+00:00,54083513,starmie_froslass_ashleysandlin.tar.gz,2026-06-26 16:29:37.247000,starmie_rules x ashleysandlin: PrizeTracker + finish search + R7 bench; local mirror 56.7% n=30,PENDING,,
2026-06-26T16:30:59+00:00,54083197,archaludon_ex_cinderace_r7_bench.tar.gz,2026-06-26 16:15:56.833000,archaludon_rules x archaludon_ex_cinderace: community v5 + R7 empty-bench guard; local 72.7% full n=30,COMPLETE,731.3,
2026-06-26T16:30:59+00:00,54081848,ryotasueyoshi_alakazam_best5.tar.gz,2026-06-26 15:19:08.570000,alakazam best5 ported S50; repro 659mu row; harness n=30,COMPLETE,781.0,
2026-06-26T19:02:56+00:00,54083513,starmie_froslass_ashleysandlin.tar.gz,2026-06-26 16:29:37.247000,starmie_rules x ashleysandlin: PrizeTracker + finish search + R7 bench; local mirror 56.7% n=30,COMPLETE,300.3,
2026-06-26T19:02:56+00:00,54083197,archaludon_ex_cinderace_r7_bench.tar.gz,2026-06-26 16:15:56.833000,archaludon_rules x archaludon_ex_cinderace: community v5 + R7 empty-bench guard; local 72.7% full n=30,COMPLETE,1224.2,
2026-06-26T21:09:48+00:00,54083513,starmie_froslass_ashleysandlin.tar.gz,2026-06-26 16:29:37.247000,starmie_rules x ashleysandlin: PrizeTracker + finish search + R7 bench; local mirror 56.7% n=30,COMPLETE,277.5,
2026-06-26T21:09:48+00:00,54083197,archaludon_ex_cinderace_r7_bench.tar.gz,2026-06-26 16:15:56.833000,archaludon_rules x archaludon_ex_cinderace: community v5 + R7 empty-bench guard; local 72.7% full n=30,COMPLETE,1196.1,
2026-06-26T21:17:02+00:00,54088877,archaludon.tar.gz,2026-06-26 21:16:30.580000,archaludon_rules x archaludon_ex_cinderace: R8a TO_ACTIVE promote + R8b empty-bench tempo block; local 75.3% full n=30 vs 54083197,PENDING,,
2026-06-26T21:19:03+00:00,54088877,archaludon.tar.gz,2026-06-26 21:16:30.580000,archaludon_rules x archaludon_ex_cinderace: R8a TO_ACTIVE promote + R8b empty-bench tempo block; local 75.3% full n=30 vs 54083197,COMPLETE,600.0,
2026-06-26T21:24:23+00:00,54088877,archaludon.tar.gz,2026-06-26 21:16:30.580000,archaludon_rules x archaludon_ex_cinderace: R8a TO_ACTIVE promote + R8b empty-bench tempo block; local 75.3% full n=30 vs 54083197,COMPLETE,704.8,
2026-06-26T21:30:02+00:00,54089078,archaludon.tar.gz,2026-06-26 21:29:52.660000,archaludon_rules x archaludon_ex_cinderace: R8a+R8b + R9 TO_HAND pick floor; local 68.0% full n=30 vs 54088877,PENDING,,
2026-06-26T21:30:02+00:00,54088877,archaludon.tar.gz,2026-06-26 21:16:30.580000,archaludon_rules x archaludon_ex_cinderace: R8a TO_ACTIVE promote + R8b empty-bench tempo block; local 75.3% full n=30 vs 54083197,COMPLETE,780.7,
2026-06-27T12:52:22+00:00,54089078,archaludon.tar.gz,2026-06-26 21:29:52.660000,archaludon_rules x archaludon_ex_cinderace: R8a+R8b + R9 TO_HAND pick floor; local 68.0% full n=30 vs 54088877,COMPLETE,841.0,
2026-06-27T12:52:22+00:00,54088877,archaludon.tar.gz,2026-06-26 21:16:30.580000,archaludon_rules x archaludon_ex_cinderace: R8a TO_ACTIVE promote + R8b empty-bench tempo block; local 75.3% full n=30 vs 54083197,COMPLETE,983.8,
2026-06-27T13:28:36+00:00,54109878,archaludon.tar.gz,2026-06-27 13:28:26.777000,archaludon_rules x archaludon_ex_cinderace: R7 + R8a mandatory promote; local 62.7% full n=30 vs 54083197,PENDING,,
2026-06-27T13:28:36+00:00,54109826,archaludon.tar.gz,2026-06-27 13:26:45.347000,archaludon_rules x archaludon_ex_cinderace: R7 + R10 prize-attack KO scoring; local 62.0% full n=30 vs 54083197,PENDING,,
2026-06-27T13:28:36+00:00,54088877,archaludon.tar.gz,2026-06-26 21:16:30.580000,archaludon_rules x archaludon_ex_cinderace: R8a TO_ACTIVE promote + R8b empty-bench tempo block; local 75.3% full n=30 vs 54083197,COMPLETE,979.2,
2026-06-28T11:28:38+00:00,54109878,archaludon.tar.gz,2026-06-27 13:28:26.777000,archaludon_rules x archaludon_ex_cinderace: R7 + R8a mandatory promote; local 62.7% full n=30 vs 54083197,COMPLETE,967.3,
2026-06-28T11:28:38+00:00,54109826,archaludon.tar.gz,2026-06-27 13:26:45.347000,archaludon_rules x archaludon_ex_cinderace: R7 + R10 prize-attack KO scoring; local 62.0% full n=30 vs 54083197,COMPLETE,854.0,
2026-06-28T11:43:58+00:00,54138853,archaludon.tar.gz,2026-06-28 11:42:29.140000,archaludon_rules x archaludon_ex_cinderace: R7 + R11 prize-race attach cap when lethal attack legal and behind; local 58.7% full n=30 vs 54083197,PENDING,,
2026-06-28T11:43:58+00:00,54109826,archaludon.tar.gz,2026-06-27 13:26:45.347000,archaludon_rules x archaludon_ex_cinderace: R7 + R10 prize-attack KO scoring; local 62.0% full n=30 vs 54083197,COMPLETE,849.6,
2026-06-28T12:06:24+00:00,54138853,archaludon.tar.gz,2026-06-28 11:42:29.140000,archaludon_rules x archaludon_ex_cinderace: R7 + R11 prize-race attach cap when lethal attack legal and behind; local 58.7% full n=30 vs 54083197,COMPLETE,535.6,
2026-06-28T12:13:29+00:00,54139502,archaludon.tar.gz,2026-06-28 12:13:28.070000,archaludon_rules x archaludon_ex_cinderace: R7 + R12 dead-active tempo (energize bench attacker); local 70.7% full n=30 vs 54083197,PENDING,,
2026-06-28T12:13:29+00:00,54138853,archaludon.tar.gz,2026-06-28 11:42:29.140000,archaludon_rules x archaludon_ex_cinderace: R7 + R11 prize-race attach cap when lethal attack legal and behind; local 58.7% full n=30 vs 54083197,COMPLETE,632.9,
2026-07-29T23:29:10+00:00,55093941,dragapult_ex_sample.tar.gz,2026-07-29 23:27:04.947000,auto Dragapult official pilot+bench localWR=62.5 n=48 core,COMPLETE,600.0,
2026-07-29T23:29:10+00:00,55093940,archaludon.tar.gz,2026-07-29 23:26:58.467000,auto Archaludon R7 bench-guard localWR=66.7 n=90 core,COMPLETE,600.0,
2026-07-29T23:29:10+00:00,55093083,submission-bc-v2-s20260730-step2000.tar.gz,2026-07-29 22:14:09.690000,"BC-v2 actor-visible challenger; 200-game sample mirror 70%, six-deck directional lift +4 to +19pp, 0 errors; exact-exec/malicious-CWD passed. SHA256 2267ceae2aef08556d6136d2f161fd2648fa87d80e86a8ce06e6a0e4960b9748. Not Final.",COMPLETE,579.4,
2026-07-29T23:29:10+00:00,55087829,submission-deploy-parity-v5.tar.gz,2026-07-29 16:53:44.993000,deploy-parity H1-H3 challenger; non-Final online probe only; no formal Episode or strength claim. SHA256 560909b53988560fb98f47b0a185dcbfb51aa582ad15d0fa22fcb3617594c1a4,COMPLETE,274.4,
2026-07-29T23:29:10+00:00,55078419,submission-baseline-v4.tar.gz,2026-07-29 09:53:14.443000,Baseline v4 deterministic control; Run 3 conditional baseline. SHA256 68dce55d0136127b1f94f5350f4b18ec6f7607c9e27654277eda55c875f16e8f. Native/Episode performance not yet verified.,COMPLETE,475.9,
2026-07-29T23:31:57+00:00,55093941,dragapult_ex_sample.tar.gz,2026-07-29 23:27:04.947000,auto Dragapult official pilot+bench localWR=62.5 n=48 core,COMPLETE,509.4,
2026-07-29T23:31:57+00:00,55093940,archaludon.tar.gz,2026-07-29 23:26:58.467000,auto Archaludon R7 bench-guard localWR=66.7 n=90 core,COMPLETE,690.1,
2026-07-29T23:34:26+00:00,55093941,dragapult_ex_sample.tar.gz,2026-07-29 23:27:04.947000,auto Dragapult official pilot+bench localWR=62.5 n=48 core,COMPLETE,593.7,
2026-07-29T23:34:26+00:00,55093940,archaludon.tar.gz,2026-07-29 23:26:58.467000,auto Archaludon R7 bench-guard localWR=66.7 n=90 core,COMPLETE,793.7,
2026-07-30T16:05:22+00:00,55095587,archaludon.tar.gz,2026-07-30 01:00:05.970000,Archaludon R7 PRIMARY day-flip #1 — chase pin 1196 / top 1198+ (live~793.7),COMPLETE,648.4,
2026-07-30T16:05:22+00:00,55095576,archaludon.tar.gz,2026-07-30 00:59:26.533000,Archaludon R7 PRIMARY day-flip #1 — chase pin 1196 / top 1198+ (live~793.7),COMPLETE,699.7,
2026-07-30T16:05:22+00:00,55095564,archaludon.tar.gz,2026-07-30 00:58:30.980000,Archaludon R7 PRIMARY day-flip #1 — chase pin 1196 / top 1198+ (live~793.7),COMPLETE,600.0,
2026-07-30T16:05:22+00:00,55094337,archaludon.tar.gz,2026-07-30 00:00:30.927000,UTC dayroll #1 Archaludon metal+cinderace evo-fixed | local_gate~58-66 | speed=fast | board_keep_latest_2,COMPLETE,690.1,
2026-07-30T16:05:22+00:00,55094308,archaludon.tar.gz,2026-07-30 00:00:08.377000,Archaludon R7 PRIMARY day-flip #1 — chase pin 1196 / top 1198+ (live~793.7),COMPLETE,703.3,
2026-07-30T16:05:22+00:00,55093941,dragapult_ex_sample.tar.gz,2026-07-29 23:27:04.947000,auto Dragapult official pilot+bench localWR=62.5 n=48 core,COMPLETE,502.8,
2026-07-30T16:05:22+00:00,55093940,archaludon.tar.gz,2026-07-29 23:26:58.467000,auto Archaludon R7 bench-guard localWR=66.7 n=90 core,COMPLETE,599.8,
2026-07-31T03:22:58+00:00,55122059,arch_v5_r7.tar.gz,2026-07-31 00:07:12.680000,Final lock-in #2: Archaludon v5 R7 historical champion ref 54083197 mu 1196.1,COMPLETE,742.8,
2026-07-31T03:22:58+00:00,55122053,arch_v5_r7.tar.gz,2026-07-31 00:07:03.263000,Final lock-in #1: Archaludon v5 R7 historical champion ref 54083197 mu 1196.1,COMPLETE,798.6,
2026-07-31T03:22:58+00:00,55095587,archaludon.tar.gz,2026-07-30 01:00:05.970000,Archaludon R7 PRIMARY day-flip #1 — chase pin 1196 / top 1198+ (live~793.7),COMPLETE,665.4,
2026-07-31T03:22:58+00:00,55095576,archaludon.tar.gz,2026-07-30 00:59:26.533000,Archaludon R7 PRIMARY day-flip #1 — chase pin 1196 / top 1198+ (live~793.7),COMPLETE,680.3,
2026-07-31T03:40:34+00:00,55122053,arch_v5_r7.tar.gz,2026-07-31 00:07:03.263000,Final lock-in #1: Archaludon v5 R7 historical champion ref 54083197 mu 1196.1,COMPLETE,790.9,
